Date,Time,Precip,Air max,min,Soil max,min,Solar,ETo,RH max,min
19981222,23:59,0,47,21,41,37,247,0.05,88.5,31.1
19981223,23:59,0,51,17,40,37,252,0.05,91,32.8
19981224,23:59,0,54,20,41,37,236,0.04,92.9,36.7
19981225,23:59,0,59,26,43,38,241,0.05,91.2,32
19981226,23:59,0,60,27,46,40,206,0.04,97.6,43.9
19981227,23:59,0,65,29,46,41,232,0.04,100,48.2
19981228,23:59,0,57,28,47,41,228,0.04,100,73.4
19981229,23:59,0,61,33,48,42,195,0.04,100,61.2
19981230,23:59,0,66,32,48,42,232,0.05,100,45.9
19981231,23:59,0,60,39,50,45,180,0.03,99.5,65.6
19990101,23:59,0,63,30,48,42,259,0.05,100,38.3
19990102,23:59,0,66,30,48,41,247,0.05,96.1,40.3
19990103,23:59,0,69,32,48,41,246,0.06,86,36.6
19990104,23:59,0,68,32,48,42,223,0.04,94.3,38.3
19990105,23:59,0,69,29,48,42,247,0.06,93.8,31.4
19990106,23:59,0,64,29,48,42,278,0.06,93.3,38.6
19990107,23:59,0.01,56,29,47,41,167,0.02,99.3,68.7
19990108,23:59,0.01,59,30,47,42,260,0.05,100,40.7
19990109,23:59,0.02,67,27,47,40,264,0.06,91.7,32.1
19990110,23:59,0,72,30,47,41,256,0.06,93.3,28.1
19990111,23:59,0,64,31,47,42,218,0.05,94.7,43.8
19990112,23:59,0.01,60,32,48,42,238,0.04,100,59.7
19990113,23:59,0.02,60,38,,,189,0.03,100,59.3
19990114,23:59,0.04,65,34,49,43,207,0.05,100,49
19990115,23:59,0.07,68,45,53,47,214,0.05,98.8,61.2
19990116,23:59,0,59,48,54,51,120,0.02,100,87.1
19990117,23:59,0,65,47,55,50,234,0.05,100,69.1
19990118,23:59,0.37,58,51,54,52,91,0.01,100,90.5
19990119,23:59,0.7,62,54,57,53,132,0.02,100,88.3
19990120,23:59,0.26,60,51,55,53,55,0.01,99.2,76.2
19990121,23:59,0,59,42,54,51,201,0.04,100,65.3
19990122,23:59,0,63,40,53,49,216,0.05,100,60.1
19990123,23:59,0.44,53,41,52,51,60,0,99.9,87.8
19990124,23:59,0,52,32,51,48,274,0.05,97.9,56.5
19990125,23:59,0.04,51,40,50,48,104,0.02,99,64.3
19990126,23:59,0.33,51,39,50,48,175,0.04,96.2,74
19990127,23:59,0,57,30,50,46,299,0.05,100,51.8
19990128,23:59,0,63,28,48,43,319,0.06,99.8,39.6
19990129,23:59,0,64,29,48,43,307,0.06,100,37.9
19990130,23:59,0,59,33,48,44,168,0.04,97.7,48.6
19990131,23:59,0.47,55,41,50,47,233,0.06,96,68.9
19990201,23:59,0,58,31,49,45,315,0.06,100,60.1
19990202,23:59,0,61,30,48,43,326,0.07,100,48.1
19990203,23:59,0,66,35,50,44,322,0.07,96.4,47
19990204,23:59,0,55,39,49,46,99,0.01,97.1,72.6
19990205,23:59,0,57,33,49,44,292,0.06,100,61.3
19990206,23:59,0.2,55,40,49,46,82,0.01,100,68.5
19990207,23:59,0.45,60,49,52,49,105,0.01,100,92.2
19990208,23:59,0.09,61,51,53,51,115,0.01,100,90.7
19990209,23:59,0.91,60,39,53,48,185,0.05,100,65
19990210,23:59,0,55,32,50,46,329,0.07,96.6,49
19990211,23:59,0,60,29,48,44,355,0.08,93.9,39
19990212,23:59,0,61,31,49,43,261,0.06,94.1,37.5
19990213,23:59,0.01,63,34,49,44,277,0.08,96.6,29.2
19990214,23:59,0,54,39,50,47,143,0.03,97.9,63
19990215,23:59,0,58,33,50,45,305,0.07,100,58.4
19990216,23:59,0,59,42,51,47,100,0.01,99.5,80.2
19990217,23:59,0.15,69,47,56,51,339,0.08,100,63.6
19990218,23:59,0.26,62,45,54,50,173,0.03,100,74.8
19990219,23:59,0,63,39,53,49,353,0.09,98.2,54
19990220,23:59,0.37,56,37,51,48,99,0.01,100,69
19990221,23:59,0.07,55,39,51,48,256,0.05,98.6,66.4
19990222,23:59,0,63,40,53,49,363,0.09,95,58.7
19990223,23:59,0,66,37,53,47,396,0.09,100,56.2
19990224,23:59,0,61,37,52,47,308,0.08,100,66.6
19990225,23:59,0.15,59,44,53,50,281,0.08,98.8,53.4
19990226,23:59,0,60,36,52,47,390,0.09,100,41.1
19990227,23:59,0,71,38,54,47,402,0.1,97.6,41.6
19990228,23:59,0,70,39,55,48,373,0.1,100,53.4
19990301,23:59,0.01,67,44,56,52,298,0.07,100,56.8
19990302,23:59,0,70,37,55,49,424,0.12,100,34.1
19990303,23:59,0.3,58,41,54,51,183,0.04,100,62.6
19990304,23:59,0,59,34,53,47,436,0.11,92.5,45.4
19990305,23:59,0,58,32,52,45,311,0.07,100,44.4
19990306,23:59,0,54,35,51,47,257,0.07,97.5,63.1
19990307,23:59,0,57,32,51,45,449,0.12,100,56.1
19990308,23:59,0.17,57,38,51,47,151,0.03,99,54.2
19990309,23:59,0.22,55,38,51,48,297,0.07,93.6,52
19990310,23:59,0,55,32,51,45,343,0.08,98.9,51.7
19990311,23:59,0.04,60,37,53,47,446,0.11,94,53
19990312,23:59,0,65,33,53,46,462,0.12,98.7,43.7
19990313,23:59,0,61,35,53,46,391,0.09,100,71.1
19990314,23:59,0.21,59,38,51,47,171,0.03,100,65.1
19990315,23:59,0.18,53,41,51,48,133,0.02,99.9,81
19990316,23:59,0,61,48,54,49,355,0.09,96.2,69.2
19990317,23:59,0,62,42,55,51,328,0.08,98.4,69.1
19990318,23:59,0,64,46,56,51,370,0.1,98.2,63.5
19990319,23:59,0.22,60,45,53,51,103,0.02,97.2,64.6
19990320,23:59,0.01,58,38,53,48,306,0.08,99.9,64.3
19990321,23:59,0,61,39,54,49,451,0.12,100,56.7
19990322,23:59,0.05,60,39,54,49,423,0.11,98.7,51.8
19990323,23:59,0.09,59,41,55,50,368,0.09,98.3,61.4
19990324,15:00,0,61,36,,,321,0.08,97.2,54.4
19990325,23:59,0.02,65,51,57,52,334,0.09,98.7,71
19990326,23:59,0,64,45,,,571,0.15,98.6,64.1
19990327,23:59,0,62,38,57,50,547,0.14,93.7,50.4
19990328,23:59,0,66,36,56,49,554,0.14,95.7,30.9
19990329,23:59,0,65,40,57,49,488,0.14,92.5,46.5
19990330,23:59,0.04,57,42,55,50,472,0.13,91.3,51.5
19990331,23:59,0.12,55,41,54,50,398,0.11,90.3,57.3
19990401,23:59,0.01,58,34,54,47,511,0.13,97.3,50
19990402,23:59,0,64,33,55,47,557,0.17,99.1,36.9
19990403,23:59,0.03,55,39,51,48,296,0.1,89.1,47.8
19990404,23:59,0,58,33,54,45,558,0.16,84,40.6
19990405,23:59,0.32,56,39,52,49,229,0.05,97.2,65
19990406,23:59,0,54,35,,,274,0.06,99.6,71.7
19990407,23:59,0.02,54,35,51,47,190,0.04,100,78.3
19990408,23:59,0.43,52,36,51,48,317,0.09,90,61.7
19990409,23:59,0,57,34,53,46,588,0.15,89.5,46
19990410,23:59,0.04,58,31,53,46,379,0.1,98.4,40.5
19990411,23:59,0.07,55,43,52,49,239,0.06,97.9,65.2
19990412,23:59,0,64,39,57,48,574,0.15,100,64.8
19990413,23:59,0,68,45,59,52,490,0.13,100,65.3
19990414,23:59,0,81,41,60,50,598,0.19,100,37.3
19990415,23:59,0,84,44,62,54,565,0.2,98.9,37.8
19990416,23:59,0,90,48,63,55,563,0.21,96.7,30
19990417,23:59,0,82,45,63,54,593,0.21,95.9,28.3
19990418,23:59,0,80,44,63,54,594,0.19,97.6,43.1
19990419,23:59,0,76,47,64,55,594,0.18,98.9,42
19990420,23:59,0,65,43,62,55,570,0.17,97.2,62.8
19990421,23:59,0,65,40,61,53,598,0.18,98.8,50.4
19990422,23:59,0,74,49,61,55,549,0.22,91.2,27.6
19990423,23:59,0,76,46,62,53,611,0.23,92.3,29.9
19990424,23:59,0.02,62,43,61,54,512,0.15,98.1,75.7
19990425,23:59,0,62,45,61,56,466,0.13,97.6,71.9
19990426,23:59,0,68,43,63,55,514,0.16,96.6,62
19990427,23:59,0.02,60,38,58,53,632,0.18,97.4,53.6
19990428,15:00,0,67,36,,,557,0.19,93.4,40
19990429,23:59,0,67,37,59,51,642,0.21,97.5,41.4
19990430,23:59,0,65,41,60,53,558,0.17,99.4,66
19990501,23:59,0,63,44,60,54,531,0.15,98.6,73.3
19990502,23:59,0,58,49,58,55,330,0.09,94.3,73.3
19990503,23:59,0,60,44,59,55,466,0.13,91.7,71.8
19990504,23:59,0,63,37,61,52,623,0.18,98.9,53.5
19990505,23:59,0,79,39,63,53,667,0.2,99.1,33.1
19990506,23:59,0,72,43,64,55,631,0.19,97.9,53
19990507,23:59,0,69,41,64,56,642,0.19,99.5,46.7
19990508,23:59,0,66,38,61,54,654,0.19,97.2,46
19990509,23:59,0,66,38,61,53,648,0.19,98,40.1
19990510,23:59,0,72,37,62,52,643,0.2,98.4,33.2
19990511,23:59,0,77,46,66,56,646,0.21,98,45.6
19990512,23:59,0,70,43,64,56,606,0.19,100,55.7
19990513,23:59,0,65,31,62,52,674,0.2,98.9,47.4
