code_uic;libelle;fret;voyageurs;code_ligne;rg_troncon;pk;commune;departemen;idreseau;idgaia;x_l93;y_l93;x_wgs84;y_wgs84;c_geo;geo_point_2d;geo_shape
87342089;Roeux;N;O;272000;1;200+760;ROEUX;PAS-DE-CALAIS;6276;29277c40-dfbc-11e3-a2ff-01a464e0362d;692485.8321999982;7022859.665199999;2.894663063869079;50.30353095017339;50.30353095017339,2.8946630638690785;50.3035309502,2.89466306387;"{""coordinates"": [2.894663063869078, 50.30353095015824], ""type"": ""Point""}"
87734053;Riom-Châtel-Guyon;O;O;790000;1;405+562;RIOM;PUY-DE-DOME;6255;d9a49308-6667-11e3-89ff-01f464e0362d;709379.8056000024;6532242.874299999;3.120954983054932;45.88979622425908;45.88979622425908,3.120954983054932;45.8897962242,3.12095498305;"{""coordinates"": [3.120954983054931, 45.88979622424199], ""type"": ""Point""}"
87116319;Lagny-Thorigny;N;O;070000;1;027+357;THORIGNY-SUR-MARNE;SEINE-ET-MARNE;4815;e16a3e20-19bf-11e5-a6ff-01fc64e0362d;678289.6488000005;6864717.971099999;2.70396715179194;48.88211331373947;48.88211331373947,2.7039671517919395;48.8821133137,2.70396715179;"{""coordinates"": [2.703967151791939, 48.882113313717525], ""type"": ""Point""}"
87345165;Dourges;O;O;284000;2;220+895;DOURGES;PAS-DE-CALAIS;3998;29e46146-dfbc-11e3-a2ff-01a464e0362d;699076.4896000028;7037186.424600001;2.987020801896205;50.43219637796586;50.43219637796586,2.987020801896205;50.432196378,2.9870208019;"{""coordinates"": [2.987020801896204, 50.432196377951286], ""type"": ""Point""}"
87757534;Boulouris-sur-Mer;N;O;930000;1;164+810;SAINT-RAPHAEL;VAR;3326;d94aa196-6667-11e3-89ff-01f464e0362d;1008423.1570999995;6264892.668400001;6.807861154229713;43.41620609499409;43.41620609499409,6.8078611542297125;43.416206095,6.80786115423;"{""coordinates"": [6.807861154229712, 43.41620609497037], ""type"": ""Point""}"
87144212;Mirecourt;N;O;030000;1;094+156;MIRECOURT;VOSGES;5527;d9882f7c-6667-11e3-89ff-01f464e0362d;931978.5974999964;6804518.0262;6.128989839330902;48.29961812645255;48.29961812645255,6.128989839330902;48.2996181264,6.12898983933;"{""coordinates"": [6.128989839330904, 48.299618126427596], ""type"": ""Point""}"
87641068;Bellenaves;N;O;707000;1;375+558;BELLENAVES;ALLIER;3165;29aa941e-dfbc-11e3-a2ff-01a464e0362d;705136.8465000018;6566613.1239;3.06661488746179;46.1993421123937;46.1993421123937,3.0666148874617902;46.1993421124,3.06661488746;"{""coordinates"": [3.066614887461789, 46.19934211237752], ""type"": ""Point""}"
87174664;Fère-Champenoise;O;N;010000;1;033+507;FÈRE-CHAMPENOISE;MARNE;4140;c0aca3ec-f312-11e3-90ff-015864e0362d;772233.8995999992;6851790.490200002;3.982709824342237;48.76217372230454;48.76217372230454,3.982709824342237;48.7621737223,3.98270982434;"{""coordinates"": [3.982709824342237, 48.762173722281986], ""type"": ""Point""}"
87116483;Esternay;O;N;002000;1;115+500;ESTERNAY;MARNE;8314;d9a4e9c8-6667-11e3-89ff-01f464e0362d;741338.7770999968;6848016.5865;3.562049601004477;48.73095043626965;48.73095043626965,3.562049601004477;48.7309504362,3.562049601;"{""coordinates"": [3.562049601004476, 48.73095043624693], ""type"": ""Point""}"
87182717;Raedersheim;N;O;115000;1;087+320;RAEDERSHEIM;HAUT-RHIN;6196;d99da8ac-6667-11e3-89ff-01f464e0362d;1020027.1572000012;6762760.289099999;7.284060687731498;47.88708451932602;47.88708451932602,7.284060687731498;47.8870845193,7.28406068773;"{""coordinates"": [7.284060687731499, 47.88708451929885], ""type"": ""Point""}"
87595892;Villefranche-du-Périgord;N;O;631000;1;588+529;LOUBEJAC;DORDOGNE;7229;28f93bde-dfbc-11e3-a2ff-01a464e0362d;545267.076700002;6393895.492800001;1.04915995461857;44.62695178117865;44.62695178117865,1.0491599546185695;44.6269517812,1.04915995462;"{""coordinates"": [1.049159954618568, 44.626951781158006], ""type"": ""Point""}"
87721431;L'Arbresle;N;O;783000;1;479+129;ÉVEUX;RHONE;4564;d9848a14-6667-11e3-89ff-01f464e0362d;825666.1264000013;6527266.990400001;4.618955339059947;45.8334524273572;45.8334524273572,4.618955339059947;45.8334524273,4.61895533906;"{""coordinates"": [4.618955339059947, 45.83345242733997], ""type"": ""Point""}"
87485136;St-Laurent-de-la-Prée;N;O;530000;1;200+271;SAINT-LAURENT-DE-LA-PRÉE;CHARENTE-MARITIME;6539;c0b1b9be-f312-11e3-90ff-015864e0362d;388311.95799999684;6551732.092599999;-1.02863401853472;45.9937452820728;45.9937452820728,-1.0286340185347196;45.9937452821,-1.02863401853;"{""coordinates"": [-1.028634018534722, 45.99374528205602], ""type"": ""Point""}"
87213256;Niederbronn-les-Bains;O;O;159000;1;021+425;NIEDERBRONN-LES-BAINS;BAS-RHIN;5787;29163e30-dfbc-11e3-a2ff-01a464e0362d;1039176.8989000022;6882441.820999999;7.633761577554735;48.952343834316274;48.952343834316274,7.6337615775547345;48.9523438343,7.63376157755;"{""coordinates"": [7.633761577554737, 48.95234383429468], ""type"": ""Point""}"
87478560;Voutré;O;O;420000;1;259+973;VOUTRÉ;MAYENNE;7332;29ed2b34-dfbc-11e3-a2ff-01a464e0362d;455152.5028000027;6786623.035500001;-0.292314504058485;48.134028595921606;48.134028595921606,-0.2923145040584849;48.1340285959,-0.292314504058;"{""coordinates"": [-0.292314504058487, 48.13402859589576], ""type"": ""Point""}"
87144154;Bruyères;N;O;065000;1;054+616;BRUYÈRES;VOSGES;3428;c024b2a6-f312-11e3-90ff-015864e0362d;976737.5768000036;6795579.701400001;6.726201135371229;48.20179388496624;48.20179388496624,6.7262011353712285;48.2017938849,6.72620113537;"{""coordinates"": [6.726201135371229, 48.20179388494076], ""type"": ""Point""}"
87144071;Châtel-Nomexy;O;O;042000;1;035+853;NOMEXY;VOSGES;3656;c02de6ce-f312-11e3-90ff-015864e0362d;951100.0222999975;6806142.692899998;6.387540083828062;48.30712626879246;48.30712626879246,6.387540083828062;48.3071262688,6.38754008383;"{""coordinates"": [6.387540083828063, 48.30712626876753], ""type"": ""Point""}"
87213421;Soultz-sous-Forêts;N;O;146000;1;041+072;SOULTZ-SOUS-FORÊTS;BAS-RHIN;6883;2911eddc-dfbc-11e3-a2ff-01a464e0362d;1057473.5226000026;6881562.5002;7.882363784547405;48.934542607292265;48.934542607292265,7.882363784547405;48.9345426073,7.88236378455;"{""coordinates"": [7.882363784547407, 48.934542607270586], ""type"": ""Point""}"
87726703;La Ricamarie;N;O;798000;1;129+642;RICAMARIE (LA );LOIRE;4745;d9a1c894-6667-11e3-89ff-01f464e0362d;806209.179899998;6479111.0375000015;4.357680089145885;45.403197752600775;45.403197752600775,4.357680089145885;45.4031977526,4.35768008915;"{""coordinates"": [4.357680089145884, 45.40319775258231], ""type"": ""Point""}"
87476762;St-Gildas-des-Bois;N;O;470000;1;494+209;SAINT-GILDAS-DES-BOIS;LOIRE-ATLANTIQUE;6490;d97bc3bc-6667-11e3-89ff-01f464e0362d;320637.4578000009;6725017.467799999;-2.044122473099628;47.51643540736758;47.51643540736758,-2.044122473099628;47.5164354073,-2.0441224731;"{""coordinates"": [-2.044122473099632, 47.51643540733839], ""type"": ""Point""}"
87118356;Bouilly-Roncenay;O;N;832000;1;178+915;RONCENAY;AUBE;8368;e00ec81e-19bf-11e5-82ff-01fc64e0362d;778633.0298999995;6788859.241099998;4.058283261027769;48.195345673895545;48.195345673895545,4.058283261027769;48.1953456739,4.05828326103;"{""coordinates"": [4.058283261027767, 48.19534567387004], ""type"": ""Point""}"
87688887;Montpellier Sud-de-France;N;O;834000;1;081+678;LATTES;HERAULT;172483;aaabd416-1033-11e7-afff-010064e0362d;773793.2866000012;6277264.2711;3.913503031859993;43.59059396781462;43.59059396781462,3.913503031859993;43.5905939678,3.91350303186;"{""coordinates"": [3.913503031859993, 43.59059396779132], ""type"": ""Point""}"
